Etiquetas de fila,Monto_2018,Monto_2019,Monto_2020,Monto_2021,,,,
Alcaldía Álvaro Obregón,0,0,509326.52,0,,,,
Alcaldía Azcapotzalco,0,0,22671.14,0,,,,
Alcaldía Cuajimalpa De Morelos,0,0,0,0,,,,
Alcaldía Gustavo A. Madero,0,0,6613.18,0,,"Monto ejercido, función: protección social, sub-función: desempleo",,
Alcaldía Tlalpan,0,0,84696911.46,0,,,,
Alcaldía Venustiano Carranza,0,75000000,0,0,,,,
Alcaldía Álvaro Obregón,0,0,34309282.61,0,,,,
Alcaldía Azcapotzalco,0,0,2306973.25,0,,,,
Alcaldía Cuajimalpa De Morelos,0,0,10916487.83,0,,,,
Alcaldía Cuauhtémoc,0,0,0,2400000,,,,
Alcaldía Gustavo A. Madero,0,0,25899.8,0,,,,
Alcaldía Tlalpan,0,0,56549994.21,0,,,,
Instituto de Capacitación para el Trabajo de la Ciudad De México,40192412.29,83559614.13,74505888.59,0,,,,
Secretaría del Trabajo y Fomento al Empleo,577378933.1,1190932906,2412549344,336160955.3,,,,
